
Best Candidate:
I_ext=1.80, k1=-0.06, k2=0.30, Var=2.0300
I_ext=1.80, k1=-0.06, k2=0.30, Var=2.0300
I_ext=1.80, k1=-0.06, k2=0.20, Var=2.0256
I_ext=1.50, k1=-0.20, k2=0.30, Var=1.9100
I_ext=1.50, k1=-0.20, k2=0.40, Var=1.8919
I_ext=1.70, k1=-0.12, k2=0.20, Var=1.6956
I_ext=1.70, k1=-0.12, k2=0.30, Var=1.6648
I_ext=1.60, k1=-0.18, k2=0.20, Var=1.6333
I_ext=1.50, k1=-0.18, k2=0.40, Var=1.6159
I_ext=1.50, k1=-0.18, k2=0.20, Var=1.5480
I_ext=1.60, k1=-0.16, k2=0.40, Var=1.5311
I_ext=1.70, k1=-0.12, k2=0.40, Var=1.4879
I_ext=1.50, k1=-0.18, k2=0.30, Var=1.4756
I_ext=1.40, k1=-0.20, k2=0.40, Var=1.4572
I_ext=1.60, k1=-0.16, k2=0.30, Var=1.4520
I_ext=1.60, k1=-0.16, k2=0.20, Var=1.4306
I_ext=1.60, k1=-0.14, k2=0.20, Var=1.4006
I_ext=1.70, k1=-0.10, k2=0.30, Var=1.3184
I_ext=1.60, k1=-0.14, k2=0.40, Var=1.2833
I_ext=1.60, k1=-0.14, k2=0.30, Var=1.2754
I_ext=1.50, k1=-0.16, k2=0.20, Var=1.2717
I_ext=1.60, k1=-0.12, k2=0.40, Var=1.2575
I_ext=1.50, k1=-0.16, k2=0.40, Var=1.2248
I_ext=1.50, k1=-0.16, k2=0.30, Var=1.2063
I_ext=1.70, k1=-0.10, k2=0.20, Var=1.1903
I_ext=1.40, k1=-0.18, k2=0.30, Var=1.1673
I_ext=1.40, k1=-0.18, k2=0.20, Var=1.1563
I_ext=1.70, k1=-0.08, k2=0.30, Var=1.1488
I_ext=1.50, k1=-0.14, k2=0.40, Var=1.1442
I_ext=1.30, k1=-0.20, k2=0.40, Var=1.1102
I_ext=1.30, k1=-0.20, k2=0.30, Var=1.1037
I_ext=1.60, k1=-0.12, k2=0.30, Var=1.0980
I_ext=1.70, k1=-0.08, k2=0.40, Var=1.0926
I_ext=1.40, k1=-0.16, k2=0.40, Var=1.0690
I_ext=1.30, k1=-0.20, k2=0.20, Var=1.0066
I_ext=1.50, k1=-0.14, k2=0.30, Var=0.9775
I_ext=1.30, k1=-0.18, k2=0.40, Var=0.9721
I_ext=1.60, k1=-0.12, k2=0.20, Var=0.9578
I_ext=1.70, k1=-0.08, k2=0.20, Var=0.9510
I_ext=1.60, k1=-0.10, k2=0.40, Var=0.9424
I_ext=1.50, k1=-0.14, k2=0.20, Var=0.9237
I_ext=1.40, k1=-0.16, k2=0.30, Var=0.9172
I_ext=1.60, k1=-0.10, k2=0.30, Var=0.8881
I_ext=1.70, k1=-0.06, k2=0.40, Var=0.8615
I_ext=1.20, k1=-0.20, k2=0.40, Var=0.8557
I_ext=1.50, k1=-0.12, k2=0.40, Var=0.8448
I_ext=1.30, k1=-0.18, k2=0.30, Var=0.7996
I_ext=1.40, k1=-0.16, k2=0.20, Var=0.7953
I_ext=1.60, k1=-0.10, k2=0.20, Var=0.7713
I_ext=1.40, k1=-0.14, k2=0.40, Var=0.7524
I_ext=1.20, k1=-0.20, k2=0.30, Var=0.7506
I_ext=1.50, k1=-0.12, k2=0.30, Var=0.7425
I_ext=1.30, k1=-0.18, k2=0.20, Var=0.7074
I_ext=1.30, k1=-0.16, k2=0.40, Var=0.6760
I_ext=1.70, k1=-0.06, k2=0.20, Var=0.6708
I_ext=1.20, k1=-0.18, k2=0.40, Var=0.6696
I_ext=1.70, k1=-0.06, k2=0.30, Var=0.6676
I_ext=1.40, k1=-0.14, k2=0.30, Var=0.6112
I_ext=1.50, k1=-0.12, k2=0.20, Var=0.6073
I_ext=1.60, k1=-0.08, k2=0.40, Var=0.5928
I_ext=1.20, k1=-0.20, k2=0.20, Var=0.5811
I_ext=1.10, k1=-0.20, k2=0.40, Var=0.5652
I_ext=1.30, k1=-0.16, k2=0.30, Var=0.5548
I_ext=1.20, k1=-0.18, k2=0.30, Var=0.4897
I_ext=1.90, k1=-0.06, k2=0.10, Var=0.4843
I_ext=1.80, k1=-0.02, k2=0.20, Var=0.4690
I_ext=1.80, k1=-0.02, k2=0.40, Var=0.4680
I_ext=1.40, k1=-0.14, k2=0.20, Var=0.4646
I_ext=1.80, k1=-0.02, k2=0.30, Var=0.4577
I_ext=1.60, k1=-0.08, k2=0.30, Var=0.4559
I_ext=1.50, k1=-0.10, k2=0.40, Var=0.4379
I_ext=1.90, k1=-0.04, k2=0.10, Var=0.4352
I_ext=1.80, k1=-0.02, k2=0.10, Var=0.4343
I_ext=1.90, k1=-0.02, k2=0.10, Var=0.4291
I_ext=1.70, k1=-0.02, k2=0.20, Var=0.4101
I_ext=1.70, k1=-0.02, k2=0.30, Var=0.4100
I_ext=1.60, k1=-0.08, k2=0.20, Var=0.4064
I_ext=1.70, k1=-0.02, k2=0.40, Var=0.4020
I_ext=1.70, k1=-0.04, k2=0.40, Var=0.3942
I_ext=1.50, k1=-0.10, k2=0.30, Var=0.3914
I_ext=1.40, k1=-0.12, k2=0.40, Var=0.3795
I_ext=1.70, k1=-0.04, k2=0.20, Var=0.3789
I_ext=1.70, k1=-0.04, k2=0.30, Var=0.3738
I_ext=1.60, k1=-0.04, k2=0.40, Var=0.3705
I_ext=1.10, k1=-0.20, k2=0.30, Var=0.3668
I_ext=1.60, k1=-0.04, k2=0.30, Var=0.3663
I_ext=1.50, k1=-0.08, k2=0.20, Var=0.3592
I_ext=1.60, k1=-0.06, k2=0.40, Var=0.3584
I_ext=1.30, k1=-0.14, k2=0.40, Var=0.3497
I_ext=1.30, k1=-0.16, k2=0.20, Var=0.3448
I_ext=1.50, k1=-0.10, k2=0.20, Var=0.3418
I_ext=1.60, k1=-0.06, k2=0.30, Var=0.3418
I_ext=1.40, k1=-0.12, k2=0.30, Var=0.3410
I_ext=1.50, k1=-0.08, k2=0.30, Var=0.3397
I_ext=1.40, k1=-0.10, k2=0.30, Var=0.3392
I_ext=1.20, k1=-0.16, k2=0.40, Var=0.3360
I_ext=1.40, k1=-0.10, k2=0.20, Var=0.3229
I_ext=1.30, k1=-0.12, k2=0.40, Var=0.3228
I_ext=1.60, k1=-0.06, k2=0.20, Var=0.3176
I_ext=1.20, k1=-0.18, k2=0.20, Var=0.3141
I_ext=1.50, k1=-0.08, k2=0.40, Var=0.3130
I_ext=1.20, k1=-0.14, k2=0.40, Var=0.3095
I_ext=1.30, k1=-0.12, k2=0.30, Var=0.3083
I_ext=1.20, k1=-0.16, k2=0.20, Var=0.3075
I_ext=1.40, k1=-0.12, k2=0.20, Var=0.3058
I_ext=1.10, k1=-0.18, k2=0.40, Var=0.3056
I_ext=1.30, k1=-0.14, k2=0.30, Var=0.3015
I_ext=1.00, k1=-0.20, k2=0.40, Var=0.3002
I_ext=1.40, k1=-0.10, k2=0.40, Var=0.2983
